"age_id";"gender";"year_id";"Dxt_HMD"
"8";"Male";"2019";"251.02"
"8";"Male";"2020";"213.01"
"9";"Female";"2000";"263.02"
"9";"Female";"2001";"276.02"
"9";"Female";"2002";"265.02"
"9";"Female";"2003";"256.01"
"9";"Female";"2004";"239.02"
"9";"Female";"2005";"241.01"
"9";"Female";"2006";"210"
"9";"Female";"2007";"225"
"9";"Female";"2008";"201"
"9";"Female";"2009";"229.02"
"9";"Female";"2010";"186"
"9";"Female";"2011";"195"
"9";"Female";"2012";"201"
"9";"Female";"2013";"183"
"9";"Female";"2014";"181"
"9";"Female";"2015";"168"
"9";"Female";"2016";"217"
"9";"Female";"2017";"206"
"9";"Female";"2018";"205"
"9";"Female";"2019";"194"
"9";"Female";"2020";"163"
"9";"Male";"2000";"342.09"
"9";"Male";"2001";"349.09"
"9";"Male";"2002";"335.08"
"9";"Male";"2003";"287.06"
"9";"Male";"2004";"331.08"
"9";"Male";"2005";"304.05"
"9";"Male";"2006";"272.04"
"9";"Male";"2007";"282.04"
"9";"Male";"2008";"249.02"
"9";"Male";"2009";"280.71"
"9";"Male";"2010";"253.02"
"9";"Male";"2011";"242.02"
"9";"Male";"2012";"251.02"
"9";"Male";"2013";"281.02"
"9";"Male";"2014";"268.02"
"9";"Male";"2015";"263.02"
"9";"Male";"2016";"245.02"
"9";"Male";"2017";"242.02"
"9";"Male";"2018";"265.02"
"9";"Male";"2019";"239.02"
"9";"Male";"2020";"234.01"
"10";"Female";"2000";"255.02"
"10";"Female";"2001";"245.02"
"10";"Female";"2002";"258.01"
"10";"Female";"2003";"287.02"
"10";"Female";"2004";"259.02"
"10";"Female";"2005";"224.01"
"10";"Female";"2006";"228"
"10";"Female";"2007";"244"
"10";"Female";"2008";"210"
"10";"Female";"2009";"210.02"
"10";"Female";"2010";"196"
"10";"Female";"2011";"202"
"10";"Female";"2012";"192"
"10";"Female";"2013";"194"
"10";"Female";"2014";"165"
"10";"Female";"2015";"167"
"10";"Female";"2016";"189"
"10";"Female";"2017";"200"
"10";"Female";"2018";"222"
"10";"Female";"2019";"189"
"10";"Female";"2020";"181"
"10";"Male";"2000";"391.1"
"10";"Male";"2001";"394.11"
"10";"Male";"2002";"376.09"
"10";"Male";"2003";"396.09"
"10";"Male";"2004";"317.07"
"10";"Male";"2005";"285.04"
"10";"Male";"2006";"284.04"
"10";"Male";"2007";"307.04"
"10";"Male";"2008";"274.02"
"10";"Male";"2009";"257.37"
"10";"Male";"2010";"233.79"
"10";"Male";"2011";"255.02"
"10";"Male";"2012";"249.02"
"10";"Male";"2013";"232.02"
"10";"Male";"2014";"254.02"
"10";"Male";"2015";"274.02"
"10";"Male";"2016";"276.02"
"10";"Male";"2017";"294.02"
