"age";"s";"s1";"s2";"s1_s2";"s1_d";"s2_d"
74;0.0925323804555647;0.0777595572529009;0.110694363312619;0.09422696028276;0.0903830579663088;0.0952340505492799
75;0.0896473486453476;0.0748372079671993;0.107952472339473;0.091394840153336;0.0870750411935554;0.0927804515044405
76;0.0935719223650535;0.0775641503879556;0.113470839368833;0.0955174948783943;0.0903039105134115;0.0974627695511011
77;0.0918981348867415;0.0756080867181599;0.112272446591234;0.0939402666546971;0.0880230542855608;0.0964372909780728
78;0.0907007721361523;0.074033078839513;0.111684928508757;0.0928590036741349;0.0861464298742418;0.0959805197541723
79;0.0828211716938579;0.0670351577295461;0.102835731007541;0.0849354443685435;0.0779652002081306;0.0884190567035981
80;0.0788741002249344;0.0632720845083437;0.0988056384579812;0.0810388614831624;0.0735722582207425;0.0849727717525805
81;0.0745788836420014;0.0592587538579954;0.0943101613800225;0.0767844576190089;0.0688810896283346;0.0811355141665232
82;0.0680532150627422;0.0535254561181253;0.0869282263412674;0.0702268412296963;0.0622045994979691;0.0747995004234061
83;0.0677865310711515;0.0527380751413579;0.0875232007874955;0.0701306379644267;0.0612412344547073;0.0753708702334977
84;0.0610902580233338;0.0469792285307146;0.0797852773089655;0.06338225291984;0.0544660057064931;0.068818168868205
85;0.0596998699612806;0.0453486314111549;0.078920115373147;0.062134373392151;0.0524295073629577;0.0682615458251641
86;0.0516706236640512;0.0387436235126077;0.0691838998673668;0.0539637616899872;0.0446115209196341;0.0600839180766874
87;0.0474731090310307;0.0351187316593847;0.0644162849442505;0.0497675083018176;0.0402285856730324;0.0562340979482448
88;0.0389094128527145;0.0283836552360019;0.0535312204330987;0.0409574378345503;0.0323111392297428;0.0470243928071562
89;0.0263079755760403;0.0189109938259355;0.0367242864164536;0.0278176401211946;0.0214699098814069;0.0323472598702951
90;0.0225991368054731;0.0159913369085427;0.0320419765368015;0.0240166567226721;0.0181710133402198;0.0281984296758876
91;0.0207430890478328;0.0144288974103684;0.0299114352275329;0.0221701663189506;0.0163801134521272;0.0263483541711385
92;0.0164867202027601;0.011258179816251;0.0242097109089046;0.0177339453625778;0.0127430067955189;0.0213887729152282
93;0.0128696935719592;0.00861641958861159;0.0192678403163927;0.0139421299525021;0.0097210405141025;0.0170783977782612
94;0.0102739225465912;0.00673588184265982;0.0157001189133742;0.011218000378017;0.00755897214414194;0.0139905457837639
95;0.00771197954582525;0.00494713729667395;0.0120383850682507;0.00849276118246232;0.00549972595096191;0.0108288202556179
96;0.00531664986407139;0.00333630316905935;0.00847906594909886;0.00590768455907911;0.00365839827410192;0.00773254645085186
97;0.00318117000369782;0.00195356389445482;0.00518110002924378;0.0035673319618493;0.00210740555419226;0.00480287713754871
98;0.00192665914135556;0.00115956832920605;0.00320025173624339;0.00217991003272472;0.00122498854086887;0.00302934307897152
99;0.00104818479380676;0.000621243051995383;0.00176777217934952;0.00119450761567245;0.000631657965149873;0.0017386247690854
100;-0.000553317769580081;-0.000330101778627518;-0.00092648309611141;-0.000628292437369464;-0.000215292355768391;-0.000631353945683881
